DateTime,Status,Filename

01-13-2020 04:30:25,Exporting Files Started  ,

01-13-2020 04:30:25,Check Mandatory Fields : ,C:\imaging\Asiri With Barcode BW - Copy (2).tif

01-13-2020 04:30:31,File Exported Successfully  ,C:\imaging\IMG_20191009_0002.pdf

01-13-2020 04:30:31,Error From ExportOther Files : System.IO.FileNotFoundException: No files found matching 'C:\imaging\IMG_20191009_0002.pdf'.
   at Microsoft.VisualBasic.FileSystem.Kill(String PathName)
   at ezofis.UserControl.ECMRightPane.ExportOtherFiles(String filenames) in E:\Working\Customers\Invita\Implementation\ECM Capture\ezofis.LeftPane\ECMRightPane.xaml.vb:line 1740,IMG_20191009_0002.pdf

01-13-2020 04:30:31,Exporting Files Completed.,

01-13-2020 04:30:31,Number of Files Exported : 0 Out Of 2,
